"ID","Classe"
1,"Afloramento_rochoso"
2,"Area_Urbanizada"
3,"Cambissolo_humico"
4,"Cambissolo_haplico"
5,"Cambissolo_fluvico"
6,"Plintossolo_argiluvico"
7,"Gleissolo_melanico"
8,"Latossolo_amarelo"
9,"Latossolo_vermelho_amarelo"
10,"Latossolo_vermelho"
11,"Nitossolo_vermelho"
12,"Nitossolo_haplico"
13,"Argissolo_vermelho_amarelo"
14,"Argissolo_vermelho"
15,"Neossolo_litolico"
16,"Neossolo_quartzarenico"
17,"Neossolo_fluvico"
18,"Planossolo_haplico"
19,"Luvissolo_cromico"
20,"Agua"
